score
id ,:name ,:math ,:english ,:science ,:music
14334 YnAOwW 69 66 69 6
14419 lTJ70lV 85 37 38 85
14551 FmbQNKsX 26 82 22 11
14762 URMqDkv 77 13 80 11
15145 xkNYtX8 98 40 14 65
15230 07t1oas 20 15 19 12
15313 zIK4Gnn 58 29 70 2
15589 JpI9jXY8 34 71 48 69
15659 5B53kz 16 66 53 80
15698 QVFJHX 60 11 48 64
15755 rp6RjH 59 38 85 52
15767 onDEsA 49 5 51 98
15855 ZlDnRJ 77 36 4 49
15867 C0XDtNOb 15 26 67 10
15881 41MgzUUy 46 22 12 72
15923 anFPUt 26 8 41 39
16000 gzxuIaKl 42 53 63 93
16387 65Rho9d 94 3 87 42
16440 qV8cStZ7 50 41 76 24
16488 SpcJk3rx 83 79 18 82
16600 acuuL3K 71 82 82 25
16641 E8SDxuB 43 7 46 42
16658 c1UMA2 85 45 91 45
16959 jeMaWRm 59 63 83 42
17035 jDxqP3 98 42 1 84
17099 8FmJp7 23 67 22 9
17144 4Ismxy 98 9 69 49
17315 RZBNvLi 42 7 88 11
17410 SKS6ckW 66 2 60 52
17629 my5fVq1 43 87 25 35
17693 ieyhBB 15 98 2 73
17708 eVQ561Q 58 44 99 36
17726 dW3U84 68 7 37 2
17768 RMluFP 17 66 13 45
17835 D3OsyG 50 92 24 83
17852 15IJKT 21 18 46 16
17853 7zY3kDC 9 11 91 84
17999 tSwiEF 46 83 77 47
18212 k1Edh8 76 32 70 1
18289 D2GaMh 28 5 99 11
18326 w0kRy3Z 73 52 29 36
18596 VXBtpq6 47 60 60 48
18634 F37C5SuZ 82 66 89 52
18647 G3UgiC 39 24 5 77
18722 dtFJ6e2Y 80 37 84 89
18929 29pp5q 86 86 60 80
19033 eyrNihr 48 10 47 31
19047 OhCnMJ 15 84 26 53
19148 MX89b7Nx 66 41 57 57
19460 8Ih4sT 54 56 39 25
19621 Ah7hGNR 24 63 98 42
19706 7c4hlok 71 9 95 64
19864 pbGVcMSD 62 39 92 94
19942 WpeQs3 45 86 81 21
20003 qANhtG1 19 71 11 27
20239 4cTWYKD 67 44 34 72
20259 HRPgwE 13 97 29 93
20287 PdR2Lz 86 58 28 41
20330 jKyFha 93 2 45 22
20545 8FFRjuu 55 93 70 71
20642 XT679R 17 68 36 80
20681 Ln8wfx 11 2 72 34
20703 rgKoFCNT 15 97 59 65
20865 aR1PCb 42 25 66 0
20884 VlRDI3 39 6 40 7
21087 09zcut 8 49 53 69
21095 WzAJDpC5 59 12 21 29
21127 QZLjSWjs 7 35 1 75
21189 G8QSUG1h 75 10 50 41
21219 dPQGhZ5t 59 41 95 56
21309 WQeDNmd 91 72 89 65
21377 qpoBwqLQ 13 17 18 25
21398 KFIt4d 96 88 2 69
21408 DxQ9qNW 94 87 12 91
21667 HgRllmE 77 58 30 59
21751 VRFqPB 44 50 71 85
21830 jmzMR0OM 88 73 1 77
21912 4grdGMy3 96 3 66 47
21960 eAGPga6j 34 63 13 64
21970 q0Ihhq 69 4 26 23
22060 2uPVrbHK 87 5 74 34
22115 AgxkOeK 49 20 33 27
22125 VjfjqoE 40 16 25 40
22256 YNcxHzp 94 55 11 59
22277 0Q7axkie 1 22 6 63
22396 T6MJFhsw 12 33 64 2
22528 qMfBMXI 72 79 41 5
22630 XbPXHdE 29 34 1 96
22636 yM9J0a 45 30 62 72
22655 fgtW9c6t 48 29 95 2
22697 i7EjJ95J 53 57 46 75
22701 T0TCe8U 42 59 14 12
22737 QHmA8G 50 86 26 50
22873 IuxMpyH 35 49 61 32
22911 riJT3QGq 63 70 30 60
22923 S1sjuv 1 29 9 28
22995 eZmHxe 49 96 71 98
23131 0QlhFu 57 58 21 83
23158 8lxTTA 25 22 29 72
23212 4gJGvXgb 46 66 36 42
23313 6Mdp6S2P 0 74 52 61
23411 t7DBdEj 94 16 92 59
23449 V7UjoYfb 95 99 94 19
23534 9zDmOyPA 50 16 63 23
23834 VltIe6cB 35 97 12 14
23886 IWWI221k 87 8 97 26
23913 CBESDfWF 22 27 22 25
24160 Jn9IryKj 11 63 75 41
24300 cYaYCmbC 51 71 83 96
24315 WwnEkK 16 52 45 4
24447 wim0FiGp 61 69 14 95
24614 py4xHy 78 80 71 83
24651 UUmKd1UF 33 12 24 61
24669 np2HVdM 9 78 2 42
24730 r01iMfev 44 3 49 99
24804 pEYvk1 18 3 65 72
24829 72KPo0 2 20 59 65
24847 VRN5glf 26 74 53 39
24879 npAx3O 63 5 87 34
24940 D85HwbE 10 29 71 41
24945 OZlNwas 19 68 37 22
25037 a0F70V 9 1 42 48
25067 yiQPsp 10 64 76 17
25227 rV0kCf 33 3 51 27
25434 8Mrpr9 53 2 23 13
25601 E3cAprbJ 28 20 7 36
25709 aEhsWKQ 50 29 15 47
25714 i5WeMu 44 45 35 57
25788 8mYtnE 93 70 1 51
25803 IMO0Gsc 66 95 21 78
25872 dFAsd6 60 80 89 81
26130 jRhu7q 59 31 16 8
26311 PxiV1f4 59 54 5 93
26315 xxxuPw 74 13 17 59
26361 PynHUDI 19 56 22 74
26527 EqKZNgn 15 71 25 34
26640 8UILoLE 4 64 63 8
26699 pYemYRZ 95 32 95 62
26738 X1wKlT7 15 69 86 62
27049 DtFae5Q3 94 38 74 74
27165 4OVWpF 90 19 55 11
27200 TqkKF3K 54 49 10 48
27296 pQZ9BsI 27 20 41 63
27321 k6lHtO8e 73 23 33 35
27414 OUHnzwa5 83 1 39 10
27452 GY3M8z 84 1 96 95
27689 pOkjaHBP 55 50 44 30
27777 s8IoznuX 0 65 67 66
27925 9HM11wy 55 88 73 56
28344 HFEHrp 71 20 24 7
28476 yIgarVg 78 96 12 33
28544 fKVbQk5z 86 62 44 79
28759 UkdHDn 55 37 46 57
28777 pHsxd9Wg 94 1 19 77
28781 RrvU3SH 94 27 5 28
28928 41MgzUUy 24 35 17 94
29294 zROc37 87 96 12 76
29305 PMvM2K 78 12 41 5
29454 Y4CuGo 97 84 93 33
29520 0OgPEkun 4 52 0 68
29532 IdY24afx 53 63 74 72
29614 SsDPKLJ 35 7 93 52
29764 nx8dDNQP 82 76 93 97
29876 UG4Fpq 0 91 14 49
30055 Cd4JR7 9 75 46 65
30258 ZFcezl 88 37 77 31
30294 MlpeWeL 3 66 60 31
30301 3leCuod 51 78 47 62
30312 mAQ8dJQ 45 67 15 65
30315 tUov12 20 91 12 22
30655 vWz4gBX 43 72 77 17
30724 K5ifEU 29 71 61 78
30743 7DWfiLXK 15 74 41 76
30910 MB6o4UKy 87 86 5 72
30938 Y5VOvqj 46 57 57 86
30996 6EbzWVg 38 20 100 7
31010 61rcYW0 37 77 74 29
31368 sk8WCN7 54 82 76 95
31427 LDcNqg 39 81 7 16
31486 iiaEkAAB 26 10 99 26
31542 tBE5mFy 40 15 60 80
31648 p5YcBjeE 14 10 96 9
31658 ZrNKfUSa 58 1 28 94
31675 1y6Q6Ys 9 92 67 89
32031 QDs2Dp 36 8 45 95
32083 8opyX42 24 7 60 81
32088 cuJ7w9s 23 82 11 51
32130 jEU7Jqa 69 1 65 42
32137 O0MJPzl 15 14 85 23
32238 DqPZ0fgd 87 78 96 51
32364 I4JWHP 38 94 16 18
32436 w0v20a 48 96 0 59
32501 SU9RlII9 71 51 10 36
32557 8LTUCJ7y 85 50 28 64
32572 lmVvtWe 9 14 36 82
32580 kOVfke 99 85 84 3
32641 sqIrgd 17 14 64 61
32793 ibxCfH 85 52 73 38
32826 tlHQrG 90 36 46 14
32918 hXJuGLx 39 59 68 59
32920 c5YuHU0 8 42 98 86
32999 3o1AgYz 71 1 60 15
33026 ai1psugZ 82 60 43 84
33162 PRBPVwr 40 30 86 90
33270 DxQ9qNW 55 7 84 69
33353 7zQ66G 11 93 6 90
33495 L0VizgP 52 31 11 44
33505 KE4aDiGR 38 36 79 37
33808 egFLCi8m 6 23 25 96
33964 nvkdX6 63 3 48 1
33991 dhg6dRYW 20 8 21 71
34012 73KGUHcW 64 15 87 40
34242 inQlcOe 74 21 42 61
34461 ekuKrEOJ 17 80 94 0
34607 qDFIvVG 2 96 8 34
34623 U0ig8Hs 90 9 90 44
34864 QXZpxJ 8 77 79 76
34929 3423BK 97 19 75 29
35214 dSMlY4 13 52 58 15
35329 mOfOil 95 54 2 45
35333 JKXsVME 52 14 72 65
35432 IH7PtnN6 42 99 18 73
35460 UFnIAqcx 38 51 33 90
35658 tv5W2gE 26 15 85 35
35761 5l7ThZi 55 87 44 74
35773 9ENzxTu 96 57 9 25
35811 AtDJFJL 77 18 86 99
35860 uo9Yj70 35 100 54 64
36337 Jq7oXgvQ 17 13 33 25
36429 o1F8hn0A 98 63 71 62
36519 Mk2Vcms 46 97 3 19
36786 Zign58 3 79 96 26
37010 K4ze9CVK 65 65 62 85
37116 gvaMFDF 67 43 49 21
37121 ZUP0pdh9 21 47 7 37
37197 wu9c1sz 67 19 99 99
37365 uqjqAi 28 60 90 50
37461 vX5ewS 25 29 39 76
37525 6acpzG 23 96 65 92
37558 zQMWGa 75 36 22 82
37676 OJxNLG 29 47 82 12
37748 d7aDXKc 75 26 10 24
37956 wMl44HQ1 8 50 44 32
38110 amoD0vrY 54 45 9 17
38171 Y31Be7 81 74 13 21
38195 VdJLtb 74 51 25 36
38334 k5dpLipC 7 29 34 50
38502 j9CVsRw 19 63 52 33
38568 JAV2edP 4 55 41 5
38805 HWVKWgjo 9 52 54 70
38891 dPRJVA3 15 17 80 77
38945 HY4sAYm 41 30 46 36
39044 BNT1NkGt 38 47 97 8
39639 fkB51J 2 86 6 12
39655 NrTUXU 29 76 39 52
39849 6eyhsP 38 66 96 35
39947 fBVRxXF 8 51 90 61
40006 vwfwWf 86 45 73 1
40008 FqZW7YA 83 64 91 14
40045 gp6Jj3 34 55 35 10
40592 uiY4aU 94 7 81 87
40705 g4zJiys 95 15 94 76
40716 Omzm3h 10 56 85 98
40758 Akh9YoK 27 90 1 44
41240 Wek0fr 44 64 40 52
41267 kdS8dOAx 62 74 6 12
41344 v4SrFsB 13 32 72 84
41378 ASwmhTyu 16 85 32 71
41494 oxPJZ6Bx 24 38 98 47
41592 KE4aDiGR 30 86 39 35
41794 MErs0A 39 23 62 92
41899 NJFiEtti 68 38 77 48
42039 EOy8zo 10 48 3 12
42044 oTLS4eC 56 5 38 46
42088 cfZSto 53 77 17 70
42209 18RMrlZB 13 58 24 16
42376 amoD0vrY 84 41 6 13
42398 8XjhNX4u 67 55 85 49
42411 SUfpW3 20 90 57 23
42417 gLwFReIK 91 24 82 91
42447 CEGtlvXh 86 94 52 24
42488 Ndsc8j 87 61 2 57
42618 fwKfWO 76 20 6 94
42699 6NhBkFbV 25 63 12 55
42785 P8pDnfKt 43 52 65 53
42896 AnGUhyFM 21 98 72 37
42942 z0stqNZ 80 49 45 67
43191 ReeYoqo0 26 95 32 75
43193 iiOgRYM 81 31 24 50
43216 artWegrj 97 40 6 54
43231 84BtLO5x 51 34 99 14
43365 oZ0gqkFh 89 27 71 51
43448 8JuY2XLa 90 82 75 20
43706 rUs2V1bC 49 31 45 25
43740 rEmp2WFW 61 87 62 60
43927 esMyCe 13 99 34 23
44031 cfi32Wq 87 55 41 26
44153 dJVq9d 98 57 29 90
44337 IDGjdVDa 47 4 54 53
44578 OnynuNs0 39 32 91 9
44608 SzcF8w 22 26 81 62
44770 Y3c7lEi 65 30 18 99
44842 kiPezl0 53 41 5 77
44934 ZKzeisP 62 88 66 53
44982 cIHl7VlJ 91 3 11 3
45119 8JuY2XLa 82 26 80 72
45175 letu90 26 79 10 32
45244 OsK4JZ 71 31 28 13
45261 9zDmOyPA 24 51 3 95
45644 5HKUJBvG 59 67 91 51
45774 FGrDFP3 26 13 90 25
45977 DVnTA0EX 80 63 41 72
46173 X25RTP78 23 40 64 99
46228 bufyGo 57 84 100 8
46241 K3ZpRm 26 83 5 16
46366 bJa8zx3 34 16 27 14
46582 mbtfwyX 89 90 70 13
46652 TbcDBCZ 83 99 27 46
46772 LeN5q7 80 63 74 35
46796 33JmLb 94 22 37 18
46816 O1dF84g 51 26 99 17
46884 HgfI08 21 29 53 98
46913 Yd2g2yj 26 96 14 71
47053 AsmV5KkB 7 83 3 2
47190 V4wIdWG 33 62 42 12
47360 EebeRKiY 36 61 45 43
47458 neoJQkAm 15 37 22 4
47695 7CiwS9 49 66 75 81
47892 dAkPtTEO 38 4 67 9
48017 7gnZTpH 82 22 53 53
48158 v3oP7u 45 86 39 98
48160 eiGDYb6 38 75 80 32
48194 UfM6Fpc 25 20 59 9
48197 5UYOysP 55 62 67 43
48262 gf8QKgNB 96 100 71 36
48399 dSgZRYj 56 59 82 4
48452 V5e1PeTX 36 92 21 22
48513 FMrHbK 72 72 91 97
48603 VRN5glf 24 56 78 4
48612 qtvtmcyW 31 15 29 88
48723 7BCqTE 8 96 57 12
48756 2gTjSn 98 82 36 56
48898 vX5ewS 54 91 27 68
49094 7lA2XLNg 16 56 71 34
49149 T6MJFhsw 85 98 92 46
49170 tzeiqG 30 14 85 75
49277 emvKs27 87 67 50 9
49357 vP5kvv 39 47 62 89
49381 H53L7Ybf 0 89 23 66
49421 ozL4Nfl 76 24 98 2
49528 62U7DBn2 58 1 88 86
49538 t8Wplq 51 56 12 70
49589 4cbNuUNN 25 79 76 34
49602 TmA9xcR 45 40 64 84
49695 2NaxXlfk 91 16 65 6
49757 mQW3Wlq 82 51 61 81
49932 ofNc2P0V 99 11 1 71
49947 uN7T5u 61 66 4 86
50141 wUmBgd 47 58 98 70
50223 A3EBPS 14 19 100 44
50240 gQnINY 49 7 59 89
50273 gs3WksCG 84 49 46 89
50584 cNUxiy 92 90 64 32
50708 xu8dFA7 87 7 50 79
50811 YnAOwW 24 98 54 70
50877 CeNA6DZ 94 3 80 31
51021 FXay2K 3 66 43 23
51123 2nwtLk 62 78 20 12
51176 SRlTp0 52 32 85 30
51228 FOt1bDi 46 13 80 8
51363 gcEfKW9A 3 42 52 97
51406 ihA9kbs 50 13 55 31
51577 xfmka3 74 47 48 19
51788 E83pbs7 56 2 71 33
51872 69bhVQFE 10 27 78 66
51924 nfQWthnw 5 22 80 52
52156 w7vlgn9a 66 37 67 69
52293 YBG72j 17 92 64 59
52456 96ZEqQ 16 38 17 96
52479 SQBfve 37 86 92 38
52570 dBfF95d 81 21 19 19
52647 dfRUpN 76 83 61 88
52675 NKSHU6S 19 38 33 6
52743 hUgmv56Q 79 31 58 4
52819 nOdTWF 70 26 93 75
52821 a2TGf0P 16 40 56 12
52834 MuUpvx2 10 80 14 100
53235 9jm8t709 88 11 78 36
53370 JxUmxF 87 68 34 56
53447 x1osXi5a 3 19 15 3
54001 HgRllmE 35 71 21 20
54023 94Mlf4Mv 98 3 78 75
54029 Sz7Hb6h 18 9 60 3
54139 LbBWCp 65 75 35 89
54176 OiGk7D 78 12 24 84
54321 gEfQvD 95 1 73 37
54409 mAuO5ilm 86 7 51 79
54483 c8syomP 49 9 5 85
54565 al4bnQo 67 33 70 94
54632 lWX1cY5o 81 77 26 21
54694 5WpcLdc 28 50 68 18
54727 0bjlGy 6 22 93 1
54738 EVJVQVL 28 44 51 65
54928 uThN4aP 51 84 85 83
54971 oIkXQRa 87 99 55 16
55029 BS91bQ 88 56 10 79
55030 5M1d8Dlm 36 2 42 30
55049 zLYqwEMZ 61 70 52 65
55187 0lfNe4I 32 8 19 31
55289 iDGuZ84 67 35 45 29
55322 JNt7OfXz 57 70 5 33
55484 Nm8me0 12 51 84 45
55502 vZO2Bg2 15 8 13 12
55558 fXLUzHt 73 83 3 90
55564 RqqdkAO 12 73 9 88
55666 dAH7c2 28 70 34 0
55989 6hsPie 65 80 42 35
56048 UnW87o4 43 62 1 67
56076 YTH4xZy 96 58 74 12
56176 VHSD5J 5 10 38 92
56226 IlXufC 34 3 71 26
56321 ONavlSZ7 91 41 70 17
56638 jgrWk9Y 30 45 3 41
56789 tX96Eb30 56 43 90 25
56854 gvLssMC3 48 31 14 14
56865 1QJjA1 28 27 50 90
56892 WxSajoy 76 38 5 81
56923 NqDHmEIJ 73 27 40 4
57024 9PSqJW3z 66 72 2 33
57058 6b8F0GF 89 1 17 81
57061 guSE3lh 14 64 55 68
57065 Pcf0frK 15 67 73 70
57086 QqT8vW6Q 3 71 47 48
57109 xECMIUz 44 9 12 35
57192 dTvDF1Gw 57 13 24 38
57380 SBG9dWro 56 72 96 96
57538 SV7Yaw 59 45 64 16
57649 ma5bIT 21 44 60 21
57863 wGhxbG 94 78 93 82
57889 JhHyXGiH 71 92 79 31
57946 fSpVTed 94 95 83 46
58078 S3nYlwKG 33 72 95 80
58284 0UtoBWX 35 71 74 97
58341 xWjY14l 31 81 7 86
58377 mLtKbrAY 90 44 31 33
58437 uNOnoNoF 4 78 12 1
58441 ImEEgi9 16 74 71 97
58539 vwuTBS 33 72 53 23
58755 S1h37d 79 33 91 82
58764 YtTn701 10 63 49 72
58985 90Vj88pR 4 80 65 38
59328 8EjCa0l 60 2 37 24
59419 9GmNFCIx 37 4 8 20
59441 qz2JQL 0 50 7 40
59638 PZ9P8g 57 10 36 78
59706 UGRg2ebM 79 43 75 9
59759 ysZkAa 31 40 76 17
59836 tG9EYf 96 82 93 41
59854 pC2PNKp 39 84 37 58
59930 lrHPU3L 43 7 80 59
60265 UnLK3W 49 42 42 27
60303 oJuJNPke 40 32 20 63
60506 uYjiocYV 4 56 60 11
60668 V08YHBTi 93 41 62 69
60729 IQLhsi1Q 55 35 35 12
60736 4i68IWN 75 92 85 99
61070 ztMAkj 46 36 4 94
61094 37ydxS 45 61 52 19
61357 OxIKm3l 92 68 90 32
61396 MOkeME 59 0 80 42
61632 lPIHsP 73 12 99 100
61886 zVU2phH 83 62 13 23
61940 hbHHrfe 3 90 23 97
61981 040Uxx 57 22 30 12
62273 T1reL5P 65 31 21 12
62488 2W6oNVj2 53 93 66 24
62599 HeJLt2hP 50 46 4 71
62608 dxVSfZ 26 42 89 56
62631 JboE4bpo 56 64 50 78
62639 RueKo4Ir 57 27 88 13
62655 1kDVio 77 86 11 33
62868 FWZLAG 28 95 59 81
63067 Y1Ypoi 46 44 85 81
63167 DIIyDJdb 7 16 78 58
63243 w57x1nZM 18 78 44 56
63324 3gIo6QB 75 47 76 12
63412 lsv4Rda 28 88 24 84
63458 4CfNUu 97 6 100 12
63530 wTvb3Ljs 58 24 61 71
63796 ap8pIqI 10 51 41 92
63809 B8Le5e0 27 59 80 87
63945 kyPIuZVN 66 78 15 74
64476 mXFLEveT 7 49 37 8
64522 xAj0HKTk 61 72 69 95
64671 qmCnNx 62 29 46 49
64674 A2NXrw 30 94 52 18
64964 Hz4KFCzE 15 44 31 24
65026 kcxuCZ76 94 82 78 13
65440 eCcCqOA 75 54 7 39
65554 iiEl06O 38 48 1 10
65574 QtooidJ 46 58 33 98
65583 oJts5k 23 90 60 30
65699 eYoqGG 23 6 61 84
65901 uyRFqB 12 68 57 42
66018 iwhxbP 74 86 93 84
66171 my5fVq1 87 90 15 32
66225 MVb0cP 86 99 71 88
66297 KS5X5y8Q 77 72 65 23
66345 ZY393ZAB 70 33 25 80
66452 QMpcPY 6 68 81 86
66460 wubo3nBx 42 18 99 71
66474 ySzkN3LI 61 53 17 6
66674 M9j9hMGn 46 5 44 48
66685 3XchY5lJ 97 7 73 84
66707 n3Qhl5 37 47 17 57
66777 SNS76Gy 14 48 89 93
66850 UnLK3W 3 89 46 66
67231 eybjfG 78 17 31 64
67240 OOsM1f 94 56 32 2
67313 XStjDOe 99 73 52 10
67434 35b8xUe 56 12 7 55
67479 sVpEW6 60 83 61 15
67702 Z3ze8Co 51 48 29 37
67703 NdSax5EM 92 97 28 45
67733 GxOk3i 90 99 53 65
68358 ZR5BT2 56 18 22 23
68662 JydELG 27 47 29 1
68684 40Cspelt 6 80 5 30
68841 R0nbnQD3 16 21 88 28
69043 tT3JSyW 61 2 52 46
69112 s8gvwa9 10 8 35 27
69153 lTMj70W 11 53 8 73
69249 dtBG1cWk 37 66 50 5
69302 klxrhZX8 13 26 26 54
69362 UIxIgVB 13 81 82 46
69442 JhYQr2 87 73 67 56
69702 fXrJVjvf 35 3 17 86
69775 M8TSlB 14 80 7 81
69805 8XCVbfKR 26 77 95 99
69869 r3AJuC 1 78 91 95
69878 yaP92J 54 25 33 84
70036 Yf52An6 38 91 49 3
70078 PlhJpNEb 37 94 69 66
70613 I7c1WSLi 98 57 84 85
70767 P1q3LTi 52 95 85 64
70970 FGQTiC 9 77 98 45
71060 tWYbLCeI 62 40 47 16
71189 LGLOoW 92 73 61 54
71294 IMO0Gsc 27 12 42 42
71460 UvxHsBEI 63 59 54 4
71499 MG1emgnl 15 26 71 68
71513 GKelTaeT 90 97 63 28
71592 bbtQCpU 44 5 73 48
71673 c227lf 30 4 62 37
71697 PGVv2s 52 29 44 56
71757 doTyXAIb 40 60 63 40
71907 iV8kdG8 42 82 54 35
72080 IOS6tN 93 32 12 74
72325 DDPBzj 29 52 66 41
72680 9W4jmd22 75 84 68 96
72967 UQrGGXaV 51 7 23 36
73039 uEWEYTD 3 20 67 69
73047 j7mTY6 78 4 23 96
73116 k4Cy7ww7 20 45 9 18
73127 2iAFopEf 54 64 64 66
73148 Ddwpywu 86 10 73 65
73223 z0dZPac 15 67 54 29
73330 Iwp9niNn 6 95 84 64
73353 MpSCJd 95 38 91 60
73404 09zcut 37 50 8 95
73464 V0ciufeS 88 52 59 69
73651 DXJYE4 13 80 26 64
73656 yQy1Ujn 67 71 21 93
73862 5DmGWYwH 82 41 52 2
73943 rApggE 40 85 0 68
74083 3XmxVcZ 27 26 88 44
74089 xLtagcwM 14 13 96 37
74120 NfG0ggs 64 59 30 57
74270 oeHvj7A 66 9 19 100
74337 vgeq9p 37 91 18 58
74834 0EBmLUeU 67 17 28 16
74936 zeNzo0x 75 46 91 33
75034 OwpsVX 52 55 96 42
75070 2Vxl8Tc 59 37 50 14
75127 RzBBh8 23 37 51 38
75237 L2PrSme 80 70 61 15
75388 yKWKVV0 96 10 12 78
75457 YfwMnk 99 51 47 87
75893 ASyNDE3 33 18 21 37
75967 eMfamLy 69 3 51 72
76089 2MBZS7n5 93 30 64 85
76255 F3JN1G 91 23 71 66
76294 nTCO3sGp 67 79 28 92
76343 QcuHiZan 51 21 12 22
76384 pIDn6RL 74 11 94 33
76862 dKWpqvx 69 96 88 48
76909 wwmS5z 2 47 85 9
76967 9wO6cg 77 3 18 23
76968 eKPirH 12 33 78 48
77225 YKofXY 23 11 96 87
77394 JTbwEPk 45 35 14 54
77405 vtHIXU 51 79 52 72
77422 2oQXp6DT 59 41 88 100
77602 XbUSVXa7 11 17 82 60
